BANCO DO BRASIL,0001,00001-1,BANCO BRADESCO,0001,00001-1,80000.25,2022-01-12T07:30:00
BANCO SANTANDER,0001,00001-1,BANCO BRADESCO,0001,00001-1,210.89,2022-01-12T08:12:00
BANCO SANTANDER,0001,00002-1,BANCO BRADESCO,0001,00001-1,79800.06,2022-01-12T08:44:00
BANCO BRADESCO,0001,00001-1,BANCO SANTANDER,0001,00002-1,11.50,2022-01-12T12:32:00
BANCO DO BRASIL,0001,00001-1,BANCO BRADESCO,0001,00001-1,600000,2022-01-12T16:30:00
BANCO ITAU,0001,00001-1,BANCO BRADESCO,0001,00001-1,19000.50,2022-01-12T16:55:00
BANCO ITAU,0001,00002-1,BANCO BRADESCO,0001,00001-1,1000,2022-01-12T19:30:00
NUBANK,0001,00001-1,BANCO BRADESCO,0001,00001-1,2000,2022-01-12T19:34:00
BANCO INTER,0001,00001-1,BANCO BRADESCO,0001,00001-1,300,2022-01-12T20:30:00
CAIXA ECONOMICA FEDERAL,0001,00001-1,BANCO BRADESCO,0001,00001-1,900,2022-01-12T22:30:00
